antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'100% Whole Wheat Bread'}),frozenset({'Banana'}),0.02645,0.2043,0.00645,0.2438563327032136,1.1936188580676144,1.0,0.0010462649999999993,1.0523132499999999,0.16661869231880913,0.028756130182790905,0.04971262121806409,0.13771377574955102
frozenset({'Banana'}),frozenset({'100% Whole Wheat Bread'}),0.2043,0.02645,0.00645,0.031571218795888395,1.1936188580676141,1.0,0.0010462649999999993,1.005288172858226,0.20386028390973565,0.028756130182790905,0.005260355190681931,0.13771377574955102
frozenset({'Bag of Organic Bananas'}),frozenset({'Apple Honeycrisp Organic'}),0.16505,0.03625,0.0096,0.05816419266888821,1.6045294529348473,1.0,0.0036169374999999995,1.023267529752332,0.4512417784498074,0.05007824726134585,0.022738461913243285,0.1614958894378924
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Bag of Organic Bananas'}),0.03625,0.16505,0.0096,0.26482758620689656,1.6045294529348473,1.0,0.0036169374999999995,1.135719981238274,0.3909357436230004,0.05007824726134585,0.11950127098256969,0.1614958894378924
frozenset({'Banana'}),frozenset({'Apple Honeycrisp Organic'}),0.2043,0.03625,0.00765,0.037444933920704845,1.0329636943642717,1.0,0.00024412499999999955,1.001241418764302,0.04010527171783624,0.03284671532846715,0.0012398795545575593,0.12423970833966277
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Banana'}),0.03625,0.2043,0.00765,0.2110344827586207,1.0329636943642715,1.0,0.00024412499999999955,1.0085358391608392,0.03311207751583117,0.03284671532846715,0.008463595272867514,0.12423970833966277
frozenset({'Organic Baby Spinach'}),frozenset({'Apple Honeycrisp Organic'}),0.10275,0.03625,0.005,0.04866180048661801,1.3423944961825658,1.0,0.0012753125000000004,1.013046675191816,0.2842713847868488,0.0373134328358209,0.012878651607385744,0.09329641748468832
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Baby Spinach'}),0.03625,0.10275,0.005,0.13793103448275865,1.342394496182566,1.0,0.0012753125000000004,1.04081,0.26465629053177697,0.0373134328358209,0.039209846177496406,0.09329641748468832
frozenset({'Organic Hass Avocado'}),frozenset({'Apple Honeycrisp Organic'}),0.0919,0.03625,0.00625,0.06800870511425464,1.876102210048404,1.0,0.0029186250000000006,1.0340761821366025,0.5142385199867857,0.051271534044298614,0.03295326081894126,0.12021124910885146
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Hass Avocado'}),0.03625,0.0919,0.00625,0.1724137931034483,1.8761022100484037,1.0,0.0029186250000000006,1.0972875,0.48454474708171213,0.051271534044298614,0.08866181379082512,0.12021124910885146
